count,category,year,branch
72770,visits,2018-19,Cleethorpes
67082,visits,2019-20,Cleethorpes
,visits,2020-21,Cleethorpes
,visits,2021-22,Cleethorpes
35029,visits,2022-23,Cleethorpes
38287,visits,2023-24,Cleethorpes
97535,visits,2018-19,Grimsby
99536,visits,2019-20,Grimsby
,visits,2020-21,Grimsby
,visits,2021-22,Grimsby
43943,visits,2022-23,Grimsby
50134,visits,2023-24,Grimsby
48118,visits,2018-19,Immingham
46063,visits,2019-20,Immingham
,visits,2020-21,Immingham
,visits,2021-22,Immingham
22451,visits,2022-23,Immingham
23662,visits,2023-24,Immingham
36401,visits,2018-19,Waltham
33585,visits,2019-20,Waltham
,visits,2020-21,Waltham
,visits,2021-22,Waltham
33487,visits,2022-23,Waltham
36896,visits,2023-24,Waltham
69824,issues,2018-19,Cleethorpes
65921,issues,2019-20,Cleethorpes
,issues,2020-21,Cleethorpes
,issues,2021-22,Cleethorpes
47377,issues,2022-23,Cleethorpes
51496,issues,2023-24,Cleethorpes
75701,issues,2018-19,Grimsby
80471,issues,2019-20,Grimsby
,issues,2020-21,Grimsby
,issues,2021-22,Grimsby
50739,issues,2022-23,Grimsby
55391,issues,2023-24,Grimsby
26262,issues,2018-19,Immingham
27574,issues,2019-20,Immingham
,issues,2020-21,Immingham
,issues,2021-22,Immingham
23411,issues,2022-23,Immingham
25578,issues,2023-24,Immingham
39432,issues,2018-19,Waltham
39958,issues,2019-20,Waltham
,issues,2020-21,Waltham
,issues,2021-22,Waltham
32419,issues,2022-23,Waltham
36586,issues,2023-24,Waltham
6248,computer-hr,2018-19,Cleethorpes
5139,computer-hr,2019-20,Cleethorpes
,computer-hr,2020-21,Cleethorpes
,computer-hr,2021-22,Cleethorpes
2308,computer-hr,2022-23,Cleethorpes
2758,computer-hr,2023-24,Cleethorpes
11163,computer-hr,2018-19,Grimsby
9934,computer-hr,2019-20,Grimsby
,computer-hr,2020-21,Grimsby
,computer-hr,2021-22,Grimsby
3178,computer-hr,2022-23,Grimsby
3051,computer-hr,2023-24,Grimsby
1252,computer-hr,2018-19,Immingham
735,computer-hr,2019-20,Immingham
,computer-hr,2020-21,Immingham
,computer-hr,2021-22,Immingham
352,computer-hr,2022-23,Immingham
497,computer-hr,2023-24,Immingham
739,computer-hr,2018-19,Waltham
817,computer-hr,2019-20,Waltham
,computer-hr,2020-21,Waltham
,computer-hr,2021-22,Waltham
181,computer-hr,2022-23,Waltham
164,computer-hr,2023-24,Waltham
4338,event-attendance,2018-19,Cleethorpes
5373,event-attendance,2019-20,Cleethorpes
,event-attendance,2020-21,Cleethorpes
,event-attendance,2021-22,Cleethorpes
2534,event-attendance,2022-23,Cleethorpes
2910,event-attendance,2023-24,Cleethorpes
2501,event-attendance,2018-19,Grimsby
4093,event-attendance,2019-20,Grimsby
,event-attendance,2020-21,Grimsby
,event-attendance,2021-22,Grimsby
1615,event-attendance,2022-23,Grimsby
1759,event-attendance,2023-24,Grimsby
1297,event-attendance,2018-19,Immingham
1459,event-attendance,2019-20,Immingham
,event-attendance,2020-21,Immingham
,event-attendance,2021-22,Immingham
1735,event-attendance,2022-23,Immingham
1576,event-attendance,2023-24,Immingham
5900,event-attendance,2018-19,Waltham
4997,event-attendance,2019-20,Waltham
,event-attendance,2020-21,Waltham
,event-attendance,2021-22,Waltham
2046,event-attendance,2022-23,Waltham
2095,event-attendance,2023-24,Waltham
